,data,ML,Low,High
Piemonte,2020-04-10 17:00:00,1.1,0.77,1.48
Piemonte,2020-04-11 17:00:00,1.16,0.81,1.5
Piemonte,2020-04-12 17:00:00,1.19,0.86,1.54
Piemonte,2020-04-13 17:00:00,1.2,0.88,1.54
Puglia,2020-03-08 18:00:00,2.0,0.34,6.43
Puglia,2020-03-09 18:00:00,1.8800000000000001,0.38,5.01
Puglia,2020-03-10 18:00:00,1.8,0.38,4.45
Puglia,2020-03-11 17:00:00,1.74,0.4,4.13
Puglia,2020-03-12 17:00:00,1.69,0.37,3.85
Puglia,2020-03-13 17:00:00,1.8900000000000001,0.47000000000000003,3.98
Puglia,2020-03-14 17:00:00,1.78,0.48,3.67
Puglia,2020-03-15 17:00:00,1.8,0.01,3.61
Puglia,2020-03-16 17:00:00,1.67,0.01,3.35
Puglia,2020-03-17 17:00:00,1.57,0.01,3.15
Puglia,2020-03-18 17:00:00,1.5,0.01,2.99
Puglia,2020-03-19 17:00:00,1.23,0.0,2.69
Puglia,2020-03-20 17:00:00,1.22,0.0,2.64
Puglia,2020-03-21 17:00:00,1.21,0.01,2.61
Puglia,2020-03-22 17:00:00,1.2,0.0,2.5500000000000003
Puglia,2020-03-23 17:00:00,1.36,0.03,2.68
Puglia,2020-03-24 17:00:00,1.49,0.1,2.7800000000000002
Puglia,2020-03-25 17:00:00,1.57,0.2,2.83
Puglia,2020-03-26 17:00:00,1.73,0.42,2.96
Puglia,2020-03-27 17:00:00,1.52,0.33,2.68
Puglia,2020-03-28 17:00:00,1.55,0.42,2.66
Puglia,2020-03-29 17:00:00,1.48,0.39,2.5
Puglia,2020-03-30 17:00:00,1.5,0.49,2.5
Puglia,2020-03-31 17:00:00,1.5,0.55,2.45
Puglia,2020-04-01 17:00:00,1.5,0.6,2.39
Puglia,2020-04-02 17:00:00,1.35,0.5,2.21
Puglia,2020-04-03 17:00:00,1.32,0.49,2.13
Puglia,2020-04-04 17:00:00,1.17,0.35000000000000003,1.94
Puglia,2020-04-05 17:00:00,1.08,0.28,1.84
Puglia,2020-04-06 17:00:00,1.0,0.23,1.77
Puglia,2020-04-07 17:00:00,0.87,0.13,1.6300000000000001
Puglia,2020-04-08 17:00:00,0.78,0.06,1.52
Puglia,2020-04-09 17:00:00,0.8200000000000001,0.05,1.55
Puglia,2020-04-10 17:00:00,0.81,0.06,1.58
Puglia,2020-04-11 17:00:00,0.85,0.08,1.6500000000000001
Puglia,2020-04-12 17:00:00,0.9,0.07,1.68
Puglia,2020-04-13 17:00:00,0.84,0.06,1.6500000000000001
Sardegna,2020-03-20 17:00:00,2.0,0.34,6.43
Sardegna,2020-03-21 17:00:00,2.35,0.48,5.72
Sardegna,2020-03-22 17:00:00,2.43,0.64,4.98
Sardegna,2020-03-23 17:00:00,2.08,0.58,4.09
Sardegna,2020-03-24 17:00:00,1.8900000000000001,0.54,3.62
Sardegna,2020-03-25 17:00:00,1.77,0.55,3.36
Sardegna,2020-03-26 17:00:00,1.68,0.53,3.14
Sardegna,2020-03-27 17:00:00,1.22,0.0,2.64
Sardegna,2020-03-28 17:00:00,1.0,0.0,2.45
Sardegna,2020-03-29 17:00:00,0.78,0.0,2.31
Sardegna,2020-03-30 17:00:00,1.0,0.0,2.49
Sardegna,2020-03-31 17:00:00,1.0,0.0,2.49
Sardegna,2020-04-01 17:00:00,1.0,0.0,2.49
Sardegna,2020-04-02 17:00:00,1.0,0.0,2.49
Sardegna,2020-04-03 17:00:00,1.22,0.0,2.64
Sardegna,2020-04-04 17:00:00,1.0,0.0,2.45
Sardegna,2020-04-05 17:00:00,1.21,0.01,2.61
Sardegna,2020-04-06 17:00:00,1.2,0.0,2.5500000000000003
Sardegna,2020-04-07 17:00:00,1.19,0.0,2.5100000000000002
Sardegna,2020-04-08 17:00:00,1.35,0.03,2.64
Sardegna,2020-04-09 17:00:00,1.32,0.02,2.5500000000000003
Sardegna,2020-04-10 17:00:00,1.1500000000000001,0.0,2.35
Sardegna,2020-04-11 17:00:00,1.1500000000000001,0.01,2.34
Sardegna,2020-04-12 17:00:00,1.0,0.0,2.2
Sardegna,2020-04-13 17:00:00,0.7000000000000001,0.0,1.99
Sicilia,2020-03-18 17:00:00,2.0,0.34,6.43
Sicilia,2020-03-19 17:00:00,1.8800000000000001,0.38,5.01
Sicilia,2020-03-20 17:00:00,1.8,0.38,4.45
Sicilia,2020-03-21 17:00:00,2.05,0.5,4.54
Sicilia,2020-03-22 17:00:00,2.17,0.61,4.33
Sicilia,2020-03-23 17:00:00,2.16,0.68,4.01
Sicilia,2020-03-24 17:00:00,2.1,0.72,3.69
Sicilia,2020-03-25 17:00:00,2.21,0.53,3.71
Sicilia,2020-03-26 17:00:00,2.06,0.59,3.41
Sicilia,2020-03-27 17:00:00,1.95,0.65,3.18
Sicilia,2020-03-28 17:00:00,1.76,0.6,2.9
Sicilia,2020-03-29 17:00:00,1.57,0.48,2.61
Sicilia,2020-03-30 17:00:00,1.36,0.35000000000000003,2.36
Sicilia,2020-03-31 17:00:00,1.2,0.22,2.13
Sicilia,2020-04-01 17:00:00,1.0,0.11,1.9100000000000001
Sicilia,2020-04-02 17:00:00,0.93,0.05,1.8
Sicilia,2020-04-03 17:00:00,0.86,0.01,1.71
Sicilia,2020-04-04 17:00:00,0.79,0.01,1.67
Sicilia,2020-04-05 17:00:00,0.78,0.0,1.67
Sicilia,2020-04-06 17:00:00,0.76,0.0,1.69
Sicilia,2020-04-07 17:00:00,0.8300000000000001,0.0,1.77
Sicilia,2020-04-08 17:00:00,0.91,0.0,1.85
Sicilia,2020-04-09 17:00:00,1.0,0.02,1.95
Sicilia,2020-04-10 17:00:00,1.0,0.02,1.95
Sicilia,2020-04-11 17:00:00,1.09,0.09,2.09
Sicilia,2020-04-12 17:00:00,1.08,0.06,2.04
Sicilia,2020-04-13 17:00:00,1.16,0.14,2.16
Toscana,2020-03-10 18:00:00,2.0,0.34,6.43
Toscana,2020-03-11 17:00:00,1.8800000000000001,0.38,5.01
Toscana,2020-03-12 17:00:00,1.8,0.38,4.45
Toscana,2020-03-13 17:00:00,2.05,0.5,4.54
Toscana,2020-03-14 17:00:00,1.8900000000000001,0.47000000000000003,3.98
Toscana,2020-03-15 17:00:00,2.0,0.56,3.9
Toscana,2020-03-16 17:00:00,2.0300000000000002,0.63,3.71
Toscana,2020-03-17 17:00:00,2.22,0.43,3.85
Toscana,2020-03-18 17:00:00,2.41,0.84,3.85
Toscana,2020-03-19 17:00:00,2.37,1.06,3.62
Toscana,2020-03-20 17:00:00,2.1,0.97,3.2
Toscana,2020-03-21 17:00:00,2.05,1.03,2.98
Toscana,2020-03-22 17:00:00,1.83,0.9400000000000001,2.7
Toscana,2020-03-23 17:00:00,1.6500000000000001,0.8,2.42
Toscana,2020-03-24 17:00:00,1.48,0.71,2.24
Toscana,2020-03-25 17:00:00,1.29,0.55,2.02
Toscana,2020-03-26 17:00:00,1.17,0.46,1.9000000000000001
Toscana,2020-03-27 17:00:00,1.1300000000000001,0.42,1.83
Toscana,2020-03-28 17:00:00,1.0,0.31,1.71
Toscana,2020-03-29 17:00:00,0.97,0.28,1.68
Toscana,2020-03-30 17:00:00,0.9,0.2,1.59
Toscana,2020-03-31 17:00:00,0.9,0.17,1.57
Toscana,2020-04-01 17:00:00,0.93,0.23,1.6600000000000001
Toscana,2020-04-02 17:00:00,0.93,0.19,1.62
Toscana,2020-04-03 17:00:00,0.96,0.24,1.69
Toscana,2020-04-04 17:00:00,1.07,0.33,1.79
Toscana,2020-04-05 17:00:00,1.1,0.38,1.83
Toscana,2020-04-06 17:00:00,1.17,0.46,1.8900000000000001
Toscana,2020-04-07 17:00:00,1.22,0.53,1.92
Toscana,2020-04-08 17:00:00,1.24,0.5700000000000001,1.92
Toscana,2020-04-09 17:00:00,1.28,0.62,1.92
Toscana,2020-04-10 17:00:00,1.21,0.58,1.85
Toscana,2020-04-11 17:00:00,1.1500000000000001,0.51,1.75
Toscana,2020-04-12 17:00:00,1.12,0.52,1.75
Toscana,2020-04-13 17:00:00,1.12,0.52,1.73
Umbria,2020-03-10 18:00:00,2.0,0.34,6.43
Umbria,2020-03-11 17:00:00,1.8800000000000001,0.38,5.01
Umbria,2020-03-12 17:00:00,1.8,0.38,4.45
Umbria,2020-03-13 17:00:00,2.05,0.5,4.54
Umbria,2020-03-14 17:00:00,1.8900000000000001,0.47000000000000003,3.98
Umbria,2020-03-15 17:00:00,2.0,0.56,3.9
Umbria,2020-03-16 17:00:00,2.0300000000000002,0.63,3.71
Umbria,2020-03-17 17:00:00,2.22,0.43,3.85
Umbria,2020-03-18 17:00:00,2.41,0.84,3.85
Umbria,2020-03-19 17:00:00,2.37,1.06,3.62
Umbria,2020-03-20 17:00:00,2.1,0.97,3.2
Umbria,2020-03-21 17:00:00,2.05,1.03,2.98
Umbria,2020-03-22 17:00:00,1.83,0.9400000000000001,2.7
Umbria,2020-03-23 17:00:00,1.6500000000000001,0.8,2.42
Umbria,2020-03-24 17:00:00,1.48,0.71,2.24
Umbria,2020-03-25 17:00:00,1.29,0.55,2.02
Umbria,2020-03-26 17:00:00,1.17,0.46,1.9000000000000001
Umbria,2020-03-27 17:00:00,1.1300000000000001,0.42,1.83
Umbria,2020-03-28 17:00:00,1.0,0.31,1.71
Umbria,2020-03-29 17:00:00,0.97,0.28,1.68
Umbria,2020-03-30 17:00:00,0.9,0.2,1.59
Umbria,2020-03-31 17:00:00,0.9,0.17,1.57
Umbria,2020-04-01 17:00:00,0.93,0.23,1.6600000000000001
Umbria,2020-04-02 17:00:00,0.93,0.19,1.62
Umbria,2020-04-03 17:00:00,0.96,0.24,1.69
Umbria,2020-04-04 17:00:00,1.07,0.33,1.79
Umbria,2020-04-05 17:00:00,1.1,0.38,1.83
Umbria,2020-04-06 17:00:00,1.17,0.46,1.8900000000000001
Umbria,2020-04-07 17:00:00,1.22,0.53,1.92
Umbria,2020-04-08 17:00:00,1.24,0.5700000000000001,1.92
Umbria,2020-04-09 17:00:00,1.28,0.62,1.92
Umbria,2020-04-10 17:00:00,1.21,0.58,1.85
Umbria,2020-04-11 17:00:00,1.1500000000000001,0.51,1.75
Umbria,2020-04-12 17:00:00,1.12,0.52,1.75
Umbria,2020-04-13 17:00:00,1.12,0.52,1.73
Valle d'Aosta,2020-03-16 17:00:00,2.0,0.34,6.43
Valle d'Aosta,2020-03-17 17:00:00,1.8800000000000001,0.38,5.01
Valle d'Aosta,2020-03-18 17:00:00,1.8,0.38,4.45
Valle d'Aosta,2020-03-19 17:00:00,1.74,0.4,4.13
Valle d'Aosta,2020-03-20 17:00:00,1.69,0.37,3.85
Valle d'Aosta,2020-03-21 17:00:00,1.8900000000000001,0.47000000000000003,3.98
Valle d'Aosta,2020-03-22 17:00:00,2.0,0.56,3.9
Valle d'Aosta,2020-03-23 17:00:00,1.73,0.01,3.47
Valle d'Aosta,2020-03-24 17:00:00,1.8900000000000001,0.09,3.52
Valle d'Aosta,2020-03-25 17:00:00,1.95,0.25,3.52
Valle d'Aosta,2020-03-26 17:00:00,1.76,0.24,3.22
Valle d'Aosta,2020-03-27 17:00:00,1.6400000000000001,0.21,2.97
Valle d'Aosta,2020-03-28 17:00:00,1.42,0.13,2.66
Valle d'Aosta,2020-03-29 17:00:00,1.26,0.03,2.38
Valle d'Aosta,2020-03-30 17:00:00,1.24,0.08,2.39
Valle d'Aosta,2020-03-31 17:00:00,1.12,0.04,2.22
Valle d'Aosta,2020-04-01 17:00:00,1.0,0.01,2.08
Valle d'Aosta,2020-04-02 17:00:00,1.11,0.03,2.19
Valle d'Aosta,2020-04-03 17:00:00,1.22,0.09,2.31
Valle d'Aosta,2020-04-04 17:00:00,1.21,0.09,2.27
Valle d'Aosta,2020-04-05 17:00:00,1.2,0.12,2.27
Valle d'Aosta,2020-04-06 17:00:00,1.09,0.06,2.11
Valle d'Aosta,2020-04-07 17:00:00,1.0,0.0,1.96
Valle d'Aosta,2020-04-08 17:00:00,0.81,0.0,1.82
Valle d'Aosta,2020-04-09 17:00:00,0.7000000000000001,0.0,1.76
Valle d'Aosta,2020-04-10 17:00:00,0.44,0.0,1.6300000000000001
Valle d'Aosta,2020-04-11 17:00:00,0.34,0.0,1.67
Valle d'Aosta,2020-04-12 17:00:00,0.38,0.0,1.8
Valle d'Aosta,2020-04-13 17:00:00,0.47000000000000003,0.0,1.95
Veneto,2020-03-02 18:00:00,2.0,0.34,6.43
Veneto,2020-03-03 18:00:00,1.8800000000000001,0.38,5.01
Veneto,2020-03-04 17:00:00,2.17,0.51,4.99
Veneto,2020-03-05 17:00:00,1.96,0.5,4.24
Veneto,2020-03-06 17:00:00,2.08,0.58,4.09
Veneto,2020-03-07 18:00:00,1.8900000000000001,0.54,3.62
Veneto,2020-03-08 18:00:00,1.77,0.55,3.36
Veneto,2020-03-09 18:00:00,1.5,0.01,2.99
Veneto,2020-03-10 18:00:00,1.6500000000000001,0.09,3.09
Veneto,2020-03-11 17:00:00,1.56,0.08,2.9
Veneto,2020-03-12 17:00:00,1.6400000000000001,0.21,2.97
Veneto,2020-03-13 17:00:00,1.55,0.23,2.83
Veneto,2020-03-14 17:00:00,1.6,0.3,2.79
Veneto,2020-03-15 17:00:00,1.62,0.41000000000000003,2.77
Veneto,2020-03-16 17:00:00,1.7,0.54,2.74
Veneto,2020-03-17 17:00:00,1.59,0.55,2.6
Veneto,2020-03-18 17:00:00,1.58,0.62,2.54
Veneto,2020-03-19 17:00:00,1.56,0.65,2.44
Veneto,2020-03-20 17:00:00,1.53,0.7000000000000001,2.38
Veneto,2020-03-21 17:00:00,1.47,0.67,2.25
Veneto,2020-03-22 17:00:00,1.49,0.75,2.24
Veneto,2020-03-23 17:00:00,1.47,0.76,2.16
Veneto,2020-03-24 17:00:00,1.45,0.79,2.12
Veneto,2020-03-25 17:00:00,1.46,0.8200000000000001,2.07
Veneto,2020-03-26 17:00:00,1.41,0.81,2.0
Veneto,2020-03-27 17:00:00,1.33,0.75,1.8900000000000001
Veneto,2020-03-28 17:00:00,1.32,0.78,1.8800000000000001
Veneto,2020-03-29 17:00:00,1.24,0.72,1.79
Veneto,2020-03-30 17:00:00,1.2,0.68,1.72
Veneto,2020-03-31 17:00:00,1.17,0.67,1.69
Veneto,2020-04-01 17:00:00,1.08,0.59,1.6
Veneto,2020-04-02 17:00:00,1.03,0.53,1.53
Veneto,2020-04-03 17:00:00,1.02,0.52,1.52
Veneto,2020-04-04 17:00:00,0.9500000000000001,0.46,1.47
Veneto,2020-04-05 17:00:00,0.97,0.46,1.47
Veneto,2020-04-06 17:00:00,0.93,0.43,1.45
Veneto,2020-04-07 17:00:00,0.92,0.41000000000000003,1.44
Veneto,2020-04-08 17:00:00,0.93,0.42,1.46
Veneto,2020-04-09 17:00:00,0.9500000000000001,0.44,1.49
Veneto,2020-04-10 17:00:00,0.96,0.44,1.49
Veneto,2020-04-11 17:00:00,0.98,0.45,1.5
Veneto,2020-04-12 17:00:00,0.9500000000000001,0.42,1.48
Veneto,2020-04-13 17:00:00,0.96,0.42,1.48
